# name: 810_data_ak.txt
# a name with spaces: 810 data ak.txt
# 
# some comments
# last line of comments
TABBLKST|TABBLKCOU|TABTRACTCE|TABBLK|TABBLKSUFX1|TABBLKSUFX2|TABBLKGRPCE|POPDEC|HOUSING|CURSTATE|CURCOUNTY|REGIONCE|DIVISIONCE|STATENS|COUNTYNS|COUNTYFS|COUSUBFP|COUSUBNS|COUSUBFS|SUBMCDFP|SUBMCDNS|CONCITFP|CONCITNS|PLACEFP|PLACENS|PLACEFS|AIANNHFP|AIANNHCE|AIANNHNS|AIHHTLI|TRIBALSUBFP|TRIBALSUBCE|TRIBALSUBNS|TTRACTCE|TBLKGRPCE|ANRCFP|ANRCNS|UACE|UATYP|UR|CD111FP|CDCURFP|VTDST|SLDUST|SLDLST|ZCTA5CE|SDELMLEA|SDSECLEA|SDUNILEA|UGACE|PUMA|LWBLKTYP|INTPTLAT|INTPTLON|AREALAND|AREAWATER|AREAWATERINLD|AREAWATERCSTL|AREAWATERGRLK|AREAWATERTSEA|CSAFP|CBSAFP|METDIVFP|PCICBSA|CNECTAFP|NECTAFP|NECTADIVFP|PCINECTA|MEMI|NMEMI|OIDTABBLK
55|011|960100|1010|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5759223|-091.5575862|365387|3929|3929|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900520
55|011|960100|1011|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5776788|-091.5470575|149969|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901371
55|011|960100|1012|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5839223|-091.5462758|357364|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902165
55|011|960100|1013|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5904518|-091.5448590|30891|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902166
55|011|960100|1014|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5811052|-091.5405168|114292|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902167
55|011|960100|1015|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5781939|-091.5367593|534163|3240|3240|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900517
55|011|960100|1016|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|W|+44.5770544|-091.5384944|0|43486|43486|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901844
55|011|960100|1017|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|W|+44.5676897|-091.6054024|0|64311|64311|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901294
55|011|960100|1018|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|W|+44.5695009|-091.5854024|0|81388|81388|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901263
55|011|960100|1019|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5748980|-091.5696138|452|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901387
55|011|960100|1020|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|W|+44.5751203|-091.5548039|0|61957|61957|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017901369
55|011|960100|1021|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5708883|-091.5622123|268160|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902169
55|011|960100|1022|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5665003|-091.5761095|2543815|1260|1260|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900521
55|011|960100|1023|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5676474|-091.5918857|91556|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902188
55|011|960100|1024|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5647876|-091.5990706|1423063|7332|7332|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900524
55|011|960100|1025|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5635162|-091.5901000|5484|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902189
55|011|960100|1026|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5573515|-091.6028173|1735785|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902172
55|011|960100|1027|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5559328|-091.5874315|214690|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902176
55|011|960100|1028|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5488480|-091.5596716|6287082|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902173
55|011|960100|1029|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5562601|-091.5529447|799660|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902175
55|011|960100|1030|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5636796|-091.5591092|669801|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902174
55|011|960100|1031|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5642461|-091.5494146|636663|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902170
55|011|960100|1032|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5715217|-091.5512934|1053872|300|300|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900519
55|011|960100|1033|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5714135|-091.5378062|1244149|2929|2929|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900518
